PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
357	223 DARTMOUTH COLLEGE HY	402/  59/  /  / 	  2072/0389	$159,000	$159,000	3.3	9200	NON PROFIT  MDL-00	RD	1	2021	$0	$159,000	$159,000	$0	12/31/1993			$0	$124,500	$124,500	$0	$124,500	$124,500	20:09:35	251
358	229 DARTMOUTH COLLEGE HY	402/  60/  /  / 	  3894/0592	$9,300	$9,300	0.38	9200	NON PROFIT  MDL-00	RD	1	2021	$0	$9,300	$9,300	$0	06/27/2012			$0	$8,400	$8,400	$0	$8,400	$8,400	20:09:36	252
359	233 DARTMOUTH COLLEGE HY	402/  61/  /  / 	  1513/0393	$227,500	$227,500	1.1	1010	SINGLE FAM MDL01	RD	1	2021	$92,400	$135,100	$227,500	$0	06/25/1984	$4,500	04/20/1946	$71,900	$97,200	$169,100	$71,900	$97,200	$169,100	20:09:37	253
360	241 DARTMOUTH COLLEGE HY	402/  62/  /  / 	  4202/0773	$229,900	$229,900	0.62	1010	SINGLE FAM MDL01	RD	1	2021	$128,100	$101,800	$229,900	$0	05/03/2016			$93,600	$84,300	$177,900	$93,600	$84,300	$177,900	20:09:38	254
361	259 DARTMOUTH COLLEGE HY	402/  63/  /  / 	  2292/0821	$501,200	$712,000	40	1010	SINGLE FAM MDL01	RD	1	2021	$344,600	$367,400	$712,000	$4,000	01/14/1998	$218,000	08/10/1987	$315,000	$120,400	$435,400	$315,000	$311,700	$626,700	20:09:39	255
115	21 PLEASANT ST	201/  79/  1000/  / 	  4440/ 498	$358,900	$479,700	22	1010	SINGLE FAM MDL01	LCD	1	2021	$221,200	$258,500	$479,700	$0	06/06/2019			$168,500	$105,400	$273,900	$168,500	$214,900	$383,400	20:09:40	256
116	23 PLEASANT ST	201/  79/  2000/  / 	  2132/0258	$397,700	$397,700	2.08	1010	SINGLE FAM MDL01	LCD	1	2021	$249,500	$148,200	$397,700	$0	02/17/1995			$222,400	$119,300	$341,700	$222,400	$119,300	$341,700	20:09:41	257
118	7 BRITTON LN	201/  81/  /  / 	  3450/0372	$560,900	$560,900	5.3	3130	LUMBER YRD	RD	1	2021	$155,800	$405,100	$560,900	$650,000	09/18/2007	$62,500	03/31/1995	$143,400	$287,600	$431,000	$143,400	$287,600	$431,000	20:09:42	258
377	64 SHOESTRAP RD	402/  79/  /  / 	  1041/0090	$183,700	$497,500	115	1010	SINGLE FAM MDL01	RD	1	2021	$34,900	$462,600	$497,500	$0				$42,400	$102,100	$144,500	$42,400	$386,700	$429,100	20:09:43	259
378	136 RIVER RD	402/  80/  /  / 	  4657/ 199	$488,300	$488,300	0.63	1010	SINGLE FAM MDL01	RD	1	2021	$345,600	$142,700	$488,300	$675,000	08/09/2021	$105,000	07/27/2009	$266,300	$122,400	$388,700	$266,300	$122,400	$388,700	20:09:44	260
380	3 MAPLE LN	402/  82/  /  / 	  4548/ 132	$342,200	$342,200	2.1	1010	SINGLE FAM MDL01	RD	1	2021	$184,800	$157,400	$342,200	$0	08/24/2020	$349,000	03/27/2020	$156,000	$125,500	$281,500	$156,000	$125,500	$281,500	20:09:44	261
381	2 MAPLE LN	402/  83/  /  / 	  4525/ 901	$180,800	$180,800	0.53	1010	SINGLE FAM MDL01	RD	1	2021	$73,000	$107,800	$180,800	$190,000	06/08/2020	$147,500	03/30/2016	$61,200	$86,800	$148,000	$61,200	$86,800	$148,000	20:09:45	262
835	96 ORFORD RD	407/  139/  /  / 	  2123/0419	$578,200	$578,200	7.39	1010	SINGLE FAM MDL01	RD	2	2021	$342,000	$236,200	$578,200	$0	12/15/1994	$4,000	06/23/1988	$325,000	$172,600	$497,600	$325,000	$172,600	$497,600	20:09:46	263
836	92 ORFORD RD	407/  140/  /  / 	  4085/0657	$18,800	$258,500	14.84	1060	AC LND IMP	RD	1	2021	$0	$258,500	$258,500	$659,000	09/22/2014	$345,000	09/05/2001	$7,700	$15,700	$23,400	$7,700	$196,600	$204,300	20:09:47	264
837	84 ORFORD RD	407/  141/  /  / 	  4394/0498	$728,900	$730,100	1.59	1090	MULTI HSES	RD	3	2021	$484,200	$245,900	$730,100	$0	10/12/2018	$659,000	09/22/2014	$355,900	$146,000	$501,900	$355,900	$147,100	$503,000	20:09:48	265
838	16 BRITTON LN	408/  1/  /  / 	  4353/0607	$400,300	$400,300	4.1	1010	SINGLE FAM MDL01	RD	1	2021	$258,300	$142,000	$400,300	$440,000	04/16/2018	$130,000	12/09/1992	$236,500	$110,900	$347,400	$236,500	$110,900	$347,400	20:09:49	266
840	11 ORFORD RD	408/  3/  /  / 	  4658/ 160	$236,800	$236,800	1.4	1010	SINGLE FAM MDL01	LCD	1	2021	$106,100	$130,700	$236,800	$412,000	08/12/2021	$1,000	10/13/2020	$19,400	$99,100	$118,500	$19,400	$99,100	$118,500	20:09:51	267
841	13 ORFORD RD	408/  4/  /  / 	  3167/0671	$749,400	$749,400	1.30	3400	OFFICE BLD  MDL-94	RD	3	2021	$543,500	$205,900	$749,400	$0	07/13/2005			$507,800	$156,800	$664,600	$507,800	$156,800	$664,600	20:09:52	268
842	15 ORFORD RD	408/  5/  /  / 	  2372/0638	$220,300	$220,300	0.47	1010	SINGLE FAM MDL01	RD	1	2021	$127,100	$93,200	$220,300	$0	07/30/2008	$75,000	02/03/1999	$116,200	$83,900	$200,100	$116,200	$83,900	$200,100	20:09:53	269
843	23 ORFORD RD	408/  6/  /  / 	  3389/ 560	$235,800	$235,800	3.6	1010	SINGLE FAM MDL01	RD	1	2021	$83,600	$152,200	$235,800	$0	03/23/2007	$4,000	09/23/1993	$75,700	$118,000	$193,700	$75,700	$118,000	$193,700	20:09:54	270
844	27 ORFORD RD	408/  7/  /  / 	002936/0109	$93,200	$301,800	45.8	1013	SFR WATER  MDL-01	RD	1	2021	$4,300	$297,500	$301,800	$0	12/09/2003			$5,900	$79,900	$85,800	$5,900	$263,800	$269,700	20:09:54	271
845	35 ORFORD RD	408/  8/  /  / 	  1776/0056	$353,100	$353,100	2	1010	SINGLE FAM MDL01	RD	1	2021	$211,500	$141,600	$353,100	$4,000	11/08/1988			$180,800	$108,400	$289,200	$180,800	$108,400	$289,200	20:09:55	272
846	41 ORFORD RD	408/  9/  /  / 	 	$113,800	$113,800	3.8	9010	STATE NH	RD	1	2021	$0	$113,800	$113,800	$0				$0	$87,900	$87,900	$0	$87,900	$87,900	20:09:56	273
849	92 POST POND LN (LAND ONLY)	408/  12/  /  / 	  1176/0426	$117,700	$117,700	19.6	9035	TOWN-PROP	RD	1	2021	$0	$117,700	$117,700	$0				$0	$104,600	$104,600	$0	$104,600	$104,600	20:09:57	274
760	165 WHIPPLE HILL RD	407/  80/  /  / 	  3897/0300	$136,500	$289,600	51.6	1300	RES ACLNDV		1	2021	$0	$289,600	$289,600	$210,000	07/06/2012	$250,000	01/30/2009	$0	$113,100	$113,100	$0	$252,100	$252,100	20:09:58	275
762	160 WHIPPLE HILL RD	407/  81/  /  / 	002738/0562	$500	$181,700	21.2	6303	OTM-3		1	2021	$0	$181,700	$181,700	$112,466	10/31/2002	$20,000	02/06/1990	$0	$500	$500	$0	$147,200	$147,200	20:09:59	276
765	132 WHIPPLE HILL RD	407/  84/  /  / 	  4560/ 195	$464,100	$536,100	11.40	1010	SINGLE FAM MDL01	RD	1	2021	$313,700	$222,400	$536,100	$527,500	09/30/2020	$347,670	05/10/2000	$313,300	$175,800	$489,100	$313,300	$247,800	$561,100	20:10:00	277
101502	44 BLISS LN	410/  51/  /  / 	  2549/0311	$13,400	$13,400	8.1	1320	RES ACLNUD	RD	1	2021	$0	$13,400	$13,400	$0	04/27/2001			$0	$11,600	$11,600	$0	$11,600	$11,600	20:10:00	278
101523	44 BRITTON LN	408/  1/  0100/  / 	  3084/0018	$463,400	$596,400	30.08	1010	SINGLE FAM MDL01	RD	1	2021	$319,000	$277,400	$596,400	$0	11/19/2004	$100,000	08/08/2001	$295,500	$105,300	$400,800	$295,500	$201,800	$497,300	20:10:01	279
101542	675 RIVER RD	405/  33/  /  / 	  2001/0552	$531,100	$1,292,100	105.9	1013	SFR WATER  MDL-01	RD	1	2021	$203,700	$1,088,400	$1,292,100	$0	03/04/2003			$109,800	$271,800	$381,600	$109,800	$931,600	$1,041,400	20:10:02	280
769	144 ORFORD RD	407/  88/  /  / 	  4475/ 933	$345,000	$345,000	3.15	1010	SINGLE FAM MDL01	RD	1	2021	$195,800	$149,200	$345,000	$369,000	10/25/2019	$283,000	09/18/2008	$193,700	$115,300	$309,000	$193,700	$115,300	$309,000	20:10:03	281
770	124 ORFORD RD	407/  89/  /  / 	 	$6,400	$269,900	25.52	6505	FARM-5	RD	1	2021	$0	$269,900	$269,900	$0				$0	$6,400	$6,400	$0	$233,200	$233,200	20:10:04	282
101562	626 DORCHESTER RD	421/  22/  /  / 	  4414/0586	$16,800	$380,000	213	1060	AC LND IMP	RD	1	2021	$900	$379,100	$380,000	$100,000	01/31/2019			$800	$15,600	$16,400	$800	$338,100	$338,900	20:10:05	283
772	11 PINNACLE RD	407/  91/  /  / 	  1613/0215	$433,300	$433,300	3	1010	SINGLE FAM MDL01	RD	1	2021	$256,700	$176,600	$433,300	$141,000	08/07/1986			$250,900	$124,800	$375,700	$250,900	$124,800	$375,700	20:10:06	284
306	69 WASHBURN HILL RD	402/  14/  /  / 	  1424/ 471	$474,500	$474,500	3.1	1010	SINGLE FAM MDL01	RD	1	2021	$254,500	$220,000	$474,500	$0				$173,800	$201,400	$375,200	$173,800	$201,400	$375,200	20:10:07	285
307	77 WASHBURN HILL RD	402/  15/  1000/  / 	  4114/0078	$758,500	$860,600	18.44	1010	SINGLE FAM MDL01	RD	1	2021	$498,100	$362,500	$860,600	$0	03/09/2015	$779,000	08/02/2012	$498,800	$229,400	$728,200	$498,800	$322,000	$820,800	20:10:08	286
308	64 WASHBURN HILL RD	402/  16/  /  / 	  1733/0962	$476,700	$476,700	3.31	1010	SINGLE FAM MDL01	RD	1	2021	$280,100	$196,600	$476,700	$225,000	04/15/1988			$274,500	$150,300	$424,800	$274,500	$150,300	$424,800	20:10:08	287
309	66 WASHBURN HILL RD	402/  17/  /  / 	  4185/ 938	$589,800	$854,900	79.7	1010	SINGLE FAM MDL01	RD	1	2021	$283,000	$571,900	$854,900	$700,000	01/29/2016	$220,000	02/27/1985	$264,700	$232,900	$497,600	$264,700	$473,100	$737,800	20:10:09	288
310	108 PRESTON RD	402/  18/  2000/  / 	  4619/ 634	$694,700	$756,100	15.78	1010	SINGLE FAM MDL01	RD	1	2021	$511,300	$244,800	$756,100	$0	04/09/2021	$150,000	05/04/2004	$475,100	$178,800	$653,900	$475,100	$234,000	$709,100	20:10:10	289
313	50 PRESTON RD	402/  21/  /  / 	  4537/0060	$1,105,700	$1,337,000	48.8	1010	SINGLE FAM MDL01	RD	1	2021	$675,600	$661,400	$1,337,000	$1,325,000	07/16/2020	$1,236,800	07/16/2004	$606,600	$485,300	$1,091,900	$606,600	$695,100	$1,301,700	20:10:11	290
315	45 PRESTON RD	402/  23/  /  / 	  2260/0768	$659,100	$659,100	7	1040	TWO FAMILY		1	2021	$484,200	$174,900	$659,100	$0	06/03/1997	$30,000	05/03/1988	$437,000	$136,800	$573,800	$437,000	$136,800	$573,800	20:10:12	291
316	55 PRESTON RD	402/  24/  /  / 	  3200/0568	$410,200	$410,200	10	1010	SINGLE FAM MDL01	RD	1	2021	$229,500	$180,700	$410,200	$380,000	09/30/2005			$228,100	$143,200	$371,300	$228,100	$143,200	$371,300	20:10:13	292
319	69 PRESTON RD	402/  26/  1000/  / 	  3669/0559	$604,700	$604,700	5.09	1010	SINGLE FAM MDL01	RD	1	2021	$381,800	$222,900	$604,700	$0	12/17/2009			$351,600	$172,500	$524,100	$351,600	$172,500	$524,100	20:10:14	293
320	81 PRESTON RD	402/  26/  2000/  / 	  3669/0559	$9,700	$433,100	57.7	6514	FARMR-4	RD	1	2021	$0	$433,100	$433,100	$0	12/17/2009			$0	$9,700	$9,700	$0	$395,000	$395,000	20:10:15	294
321	97 PRESTON RD	402/  27/  /  / 	  1051/0565	$215,400	$215,400	1.1	1010	SINGLE FAM MDL01	RD	1	2021	$74,900	$140,500	$215,400	$0				$67,200	$99,000	$166,200	$67,200	$99,000	$166,200	20:10:15	295
322	20 WASHBURN HILL RD	402/  28/  /  / 	 	$151,200	$273,200	22	1300	RES ACLNDV	RD	1	2021	$0	$273,200	$273,200	$0				$0	$115,400	$115,400	$0	$226,200	$226,200	20:10:16	296
323	218 DARTMOUTH COLLEGE HY	402/  29/  /  / 	  4514/ 870	$293,100	$293,100	2	1010	SINGLE FAM MDL01	RD	1	2021	$149,300	$143,800	$293,100	$299,000	04/27/2020	$188,000	04/01/2015	$119,400	$110,400	$229,800	$119,400	$110,400	$229,800	20:10:17	297
324	208 DARTMOUTH COLLEGE HY	402/  30/  /  / 	  4174/   8	$457,700	$457,700	1.5	1010	SINGLE FAM MDL01	RD	1	2021	$319,900	$137,800	$457,700	$436,000	11/24/2015	$410,000	04/09/2013	$303,200	$99,600	$402,800	$303,200	$99,600	$402,800	20:10:18	298
382	116 RIVER RD	402/  84/  /  / 	  4059/0770	$309,800	$309,800	0.94	1010	SINGLE FAM MDL01	RD	1	2021	$150,900	$158,900	$309,800	$286,534	06/03/2014	$4,000	06/01/1993	$131,200	$139,200	$270,400	$131,200	$139,200	$270,400	20:10:19	299
384	91 RIVER RD	402/  86/  /  / 	    PC/2003	$356,900	$561,800	18	1013	SFR WATER  MDL-01	RD	1	2021	$115,100	$446,700	$561,800	$0	01/01/2003	$4,000	04/23/1993	$34,500	$226,600	$261,100	$34,500	$404,600	$439,100	20:10:20	300
385	101 RIVER RD	402/  87/  /  / 	  1107/0355	$458,500	$458,500	1.55	1040	TWO FAMILY	RD	1	2021	$285,900	$172,600	$458,500	$0				$248,400	$188,900	$437,300	$248,400	$188,900	$437,300	20:10:22	301
387	111 RIVER RD (HEWES BROOK PRE	402/  89/  /  / 	  2624/0731	$32,300	$32,300	1	9035	TOWN-PROP	RD	1	2021	$0	$32,300	$32,300	$0	01/18/2002	$90,000	03/30/1999	$0	$23,100	$23,100	$0	$23,100	$23,100	20:10:22	302
388	117 RIVER RD	402/  90/  /  / 	  3938/0992	$73,500	$73,500	3.5	1320	RES ACLNUD	RD	1	2021	$0	$73,500	$73,500	$0	12/11/2012			$0	$60,800	$60,800	$0	$60,800	$60,800	20:10:23	303
390	129 RIVER RD	402/  92/  /  / 	  3299/0718	$454,600	$454,600	8.6	1300	RES ACLNDV	RD	1	2021	$0	$454,600	$454,600	$550,000	06/26/2006	$4,000	10/12/1988	$0	$397,500	$397,500	$0	$397,500	$397,500	20:10:24	304
391	131 RIVER RD	402/  93/  /  / 	PRO-00044	$469,100	$469,100	1.3	1013	SFR WATER  MDL-01	RD	1	2021	$147,800	$321,300	$469,100	$0	09/12/2009	$500	03/31/1961	$78,600	$252,200	$330,800	$78,600	$252,200	$330,800	20:10:25	305
392	133+137 RIVER RD	402/  94/  /  / 	  3536/0280	$850,400	$850,400	2.3	1013	SFR WATER  MDL-01	RD	1	2021	$490,100	$360,300	$850,400	$0	06/04/2008	$134,000	06/24/1997	$439,200	$285,600	$724,800	$439,200	$285,600	$724,800	20:10:26	306
394	139 RIVER RD	402/  96/  /  / 	  2084/0285	$726,500	$726,500	1.80	1093	MLTI HS WF	RD	2	2021	$371,100	$355,400	$726,500	$110,000	04/01/1994	$68,500	09/17/1986	$366,000	$281,200	$647,200	$366,000	$281,200	$647,200	20:10:27	307
395	143 RIVER RD	402/  97/  /  / 	  3668/0759	$654,800	$654,800	2.33	1013	SFR WATER  MDL-01	RD	1	2021	$319,100	$335,700	$654,800	$0	12/08/2009	$99,533	10/14/2005	$289,500	$314,100	$603,600	$289,500	$314,100	$603,600	20:10:27	308
102712	24 HIGH ST (HIGHLAND CEMETER	201/  110/  2000/  / 	002888/0819	$258,000	$258,000	6.57	9030	MUNICPAL  MDL-00	LCD	1	2021	$11,100	$246,900	$258,000	$0	09/10/2003			$8,300	$183,700	$192,000	$8,300	$183,700	$192,000	20:10:28	309
398	155 RIVER RD	402/  100/  /  / 	  4662/ 466	$2,398,500	$2,398,500	2.15	1013	SFR WATER  MDL-01	RD	1	2021	$777,200	$1,621,300	$2,398,500	$2,500,000	08/24/2021	$99,533	10/14/2005	$601,100	$327,800	$928,900	$601,100	$327,800	$928,900	20:10:29	310
399	161 RIVER RD	402/  101/  /  / 	  4150/0104	$649,800	$649,800	1.00	1013	SFR WATER  MDL-01	RD	2	2021	$352,100	$297,700	$649,800	$0	08/12/2015	$300,000	09/05/2002	$312,000	$312,000	$624,000	$312,000	$312,000	$624,000	20:10:30	311
400	207 RIVER RD	402/  102/  /  / 	  4291/0231	$502,200	$502,200	1.8	1040	TWO FAMILY	RD	1	2021	$339,100	$163,100	$502,200	$0	06/20/2017	$200,000	06/11/1997	$312,500	$136,600	$449,100	$312,500	$136,600	$449,100	20:10:31	312
402	261 RIVER RD	402/  104/  /  / 	  3449/0254	$2,572,100	$2,572,100	6.60	1093	MLTI HS WF	RD	2	2021	$1,367,100	$1,205,000	$2,572,100	$1,900,000	09/13/2007	$4,000	03/02/1993	$1,353,500	$950,900	$2,304,400	$1,353,500	$950,900	$2,304,400	20:10:32	313
405	300 DARTMOUTH COLLEGE HY	403/  3/  /  / 	  1873/ 112	$291,100	$291,100	1.2	1010	SINGLE FAM MDL01	RD	1	2021	$147,800	$143,300	$291,100	$116,685	08/10/1990			$109,200	$109,200	$218,400	$109,200	$109,200	$218,400	20:10:34	314
407	39 EAST THETFORD RD	403/  5/  /  / 	  4489/ 718	$13,900	$420,900	41.08	6516	FARMR-6	RD	1	2021	$0	$420,900	$420,900	$0	12/19/2019	$88,000	10/23/1996	$0	$13,900	$13,900	$0	$339,600	$339,600	20:10:35	315
408	53 EAST THETFORD RD	403/  6/  /  / 	  2206/0633	$320,000	$320,000	1	1010	SINGLE FAM MDL01	RD	1	2021	$171,500	$148,500	$320,000	$199,500	07/09/1996			$139,800	$163,400	$303,200	$139,800	$163,400	$303,200	20:10:36	316
415	79 EAST THETFORD RD	403/  8/  /  / 	  2369/0009	$455,600	$614,500	24.03	1010	SINGLE FAM MDL01	RD	1	2021	$242,800	$371,700	$614,500	$135,200	01/12/1998	$4,000	12/02/1997	$184,700	$163,900	$348,600	$184,700	$317,800	$502,500	20:10:37	317
417	101 EAST THETFORD RD	403/  9/  /  / 	  4257/0489	$55,700	$643,500	52.81	1060	AC LND IMP	RD	1	2021	$34,800	$608,700	$643,500	$689,000	01/19/2017	$500,000	06/23/2015	$34,200	$17,400	$51,600	$34,200	$509,600	$543,800	20:10:38	318
418	119 EAST THETFORD RD	403/  10/  /  / 	  3787/0174	$648,600	$648,600	5.81	1010	SINGLE FAM MDL01	RD	1	2021	$442,900	$205,700	$648,600	$0	04/08/2011	$450,000	07/07/2001	$404,000	$207,500	$611,500	$404,000	$207,500	$611,500	20:10:38	319
432	299 RIVER RD	403/  15/  /  / 	  2515/0075	$23,700	$23,700	0.15	1320	RES ACLNUD	RD	1	2021	$0	$23,700	$23,700	$15,000	02/02/2001			$0	$19,200	$19,200	$0	$19,200	$19,200	20:10:39	320
427	125 EAST THETFORD RD	403/  11/  /  / 	  3731/0426	$479,800	$479,800	2.63	1010	SINGLE FAM MDL01	RD	1	2021	$317,000	$162,800	$479,800	$420,000	09/14/2010	$410,000	10/10/2007	$260,700	$131,000	$391,700	$260,700	$131,000	$391,700	20:10:40	321
101183	 WHIPPLE HILL RD	407/  86/  3000/  / 	  2524/0286	$400	$65,400	8.34	6324	OTUN-4	RD	1	2021	$0	$65,400	$65,400	$0	03/21/2001	$500,000	11/18/1986	$0	$400	$400	$0	$39,600	$39,600	20:10:41	322
429	278 RIVER RD	403/  12/  /  / 	  1948/0106	$726,100	$816,500	11.66	1010	SINGLE FAM MDL01	RD	1	2021	$553,700	$262,800	$816,500	$345,048	01/23/1992			$474,700	$240,800	$715,500	$474,700	$322,700	$797,400	20:10:42	323
101202	 WHIPPLE HILL RD	407/  86/  4000/  / 	  2524/0286	$3,100	$231,200	9.56	6325	OTUN-5	RD	1	2021	$0	$231,200	$231,200	$0	03/21/2001	$500,000	11/18/1986	$0	$2,900	$2,900	$0	$183,200	$183,200	20:10:43	324
100502	85 DARTMOUTH COLLEGE HY #4010	401/  55/  401/  / 	  4290/0281	$421,200	$421,200	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$421,200	$0	$421,200	$487,600	06/14/2017	$395,533	09/01/2009	$385,100	$0	$385,100	$385,100	$0	$385,100	20:10:43	325
100503	85 DARTMOUTH COLLEGE HY #4040	401/  55/  404/  / 	  4458/0140	$261,900	$261,900	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$261,900	$0	$261,900	$327,500	08/16/2019	$250,000	10/24/2016	$197,400	$0	$197,400	$197,400	$0	$197,400	20:10:44	326
434	303 RIVER RD	403/  17/  /  / 	  2325/0701	$242,900	$242,900	0.21	1013	SFR WATER  MDL-01	RD	1	2021	$58,600	$184,300	$242,900	$75,000	06/26/1998	$42,857	09/07/1993	$50,400	$122,300	$172,700	$50,400	$122,300	$172,700	20:10:45	327
435	307 RIVER RD	403/  18/  /  / 	  4647/ 931	$325,300	$325,300	0.15	1013	SFR WATER  MDL-01	RD	1	2021	$104,100	$221,200	$325,300	$600,000	06/18/2021	$235,000	12/28/2010	$112,300	$164,300	$276,600	$112,300	$164,300	$276,600	20:10:46	328
436	311 RIVER RD	403/  19/  /  / 	  4417/0385	$266,100	$266,100	0.37	1030	MOBILE HOM  MDL-02	RD	1	2021	$60,300	$205,800	$266,100	$0	02/19/2019			$37,300	$165,200	$202,500	$37,300	$165,200	$202,500	20:10:47	329
437	315 RIVER RD	403/  20/  /  / 	002827/0123	$1,052,700	$1,052,700	0.92	1093	MLTI HS WF	RD	2	2021	$674,600	$378,100	$1,052,700	$0	05/27/2003	$299,000	06/15/1998	$475,100	$298,400	$773,500	$475,100	$298,400	$773,500	20:10:48	330
438	319 RIVER RD	403/  21/  /  / 	PRO-00342	$570,500	$570,500	0.69	1040	TWO FAMILY	RD	1	2021	$308,800	$261,700	$570,500	$0	05/30/2012	$189,000	07/07/1995	$254,000	$232,800	$486,800	$254,000	$232,800	$486,800	20:10:48	331
440	327 RIVER RD	403/  23/  /  / 	  4508/ 505	$281,900	$281,900	0.58	1013	SFR WATER  MDL-01	RD	1	2021	$53,000	$228,900	$281,900	$185,000	03/30/2020			$43,900	$179,000	$222,900	$43,900	$179,000	$222,900	20:10:49	332
441	331 RIVER RD	403/  24/  /  / 	002784/0404	$848,200	$848,200	3.7	1093	MLTI HS WF	RD	2	2021	$393,000	$455,200	$848,200	$550,000	02/10/2003	$38,000	09/06/1989	$382,300	$346,700	$729,000	$382,300	$346,700	$729,000	20:10:51	333
442	339 RIVER RD	403/  25/  /  / 	002845/0276	$426,200	$426,200	0.66	1090	MULTI HSES		2	2021	$229,500	$196,700	$426,200	$0	05/30/2003	$135,000	12/12/1998	$240,600	$162,200	$402,800	$240,600	$162,200	$402,800	20:10:52	334
446	376 RIVER RD	403/  29/  1000/  / 	  4502/ 178	$634,400	$761,900	93.05	1010	SINGLE FAM MDL01	RD	1	2021	$417,800	$344,100	$761,900	$695,000	02/24/2020			$433,400	$302,800	$736,200	$433,400	$828,900	$1,262,300	20:10:52	335
447	37 LAMPHIRE HILL LN	403/  30/  /  / 	  1953/0322	$419,700	$419,700	4.93	1010	SINGLE FAM MDL01	RD	1	2021	$191,200	$228,500	$419,700	$160,000	02/19/1992			$151,800	$246,200	$398,000	$151,800	$246,200	$398,000	20:10:53	336
448	41 LAMPHIRE HILL LN	403/  31/  /  / 	  4162/ 277	$652,300	$704,400	16	1010	SINGLE FAM MDL01	RD	1	2021	$396,900	$307,500	$704,400	$625,000	09/14/2015	$339,500	11/04/2010	$379,100	$188,000	$567,100	$379,100	$235,200	$614,300	20:10:54	337
450	70 LAMPHIRE HILL LN	403/  33/  /  / 	  4092/0497	$958,700	$1,618,400	392.20	1090	MULTI HSES	RD	2	2021	$561,400	$1,057,000	$1,618,400	$84,000	11/03/2014			$483,000	$396,900	$879,900	$483,000	$994,400	$1,477,400	20:10:55	338
454	34 LAMPHIRE HILL LN	403/  37/  /  / 	PC-2005	$830,200	$1,426,400	147	1010	SINGLE FAM MDL01	RD	1	2021	$586,400	$840,000	$1,426,400	$0	04/23/2005			$471,100	$216,400	$687,500	$471,100	$750,400	$1,221,500	20:10:56	339
457	360 RIVER RD	403/  40/  /  / 	  2242/0345	$1,044,500	$1,228,200	34.94	1010	SINGLE FAM MDL01	RD	1	2021	$818,800	$409,400	$1,228,200	$4,000	03/14/1997			$666,000	$293,700	$959,700	$666,000	$459,900	$1,125,900	20:10:57	340
458	336 RIVER RD	403/  41/  /  / 	  4199/0809	$507,400	$507,400	5.1	1010	SINGLE FAM MDL01	RD	1	2021	$234,800	$272,600	$507,400	$575,000	04/20/2016	$330,000	04/29/2005	$239,700	$235,400	$475,100	$239,700	$235,400	$475,100	20:10:58	341
459	330 RIVER RD	403/  42/  /  / 	  4203/0100	$485,400	$485,400	4.48	1010	SINGLE FAM MDL01	RD	1	2021	$293,400	$192,000	$485,400	$0	04/20/2016	$213,333	06/17/1985	$235,200	$206,500	$441,700	$235,200	$206,500	$441,700	20:10:58	342
460	120 EAST THETFORD RD	403/  43/  /  / 	  3899/0388	$680,900	$758,100	28.1	1010	SINGLE FAM MDL01	RD	1	2021	$479,100	$279,000	$758,100	$0	07/16/2012	$118,500	09/26/1997	$391,500	$167,100	$558,600	$391,500	$236,900	$628,400	20:10:59	343
461	106 EAST THETFORD RD	403/  44/  /  / 	  4405/0570	$906,400	$985,200	22	1010	SINGLE FAM MDL01	RD	1	2021	$673,400	$311,800	$985,200	$200,000	12/07/2018	$2,666	05/10/2002	$299,300	$178,200	$477,500	$299,300	$249,700	$549,000	20:11:00	344
462	84 EAST THETFORD RD	403/  45/  /  / 	  3941/0106	$737,300	$790,700	13.00	1040	TWO FAMILY	RD	2	2021	$544,600	$246,100	$790,700	$579,533	12/18/2012	$425,048	07/26/1991	$438,100	$119,400	$557,500	$438,100	$167,700	$605,800	20:11:01	345
463	72 EAST THETFORD RD	403/  46/  /  / 	PC-2005	$4,200	$372,200	30.68	6516	FARMR-6	RD	1	2021	$0	$372,200	$372,200	$0	04/23/2005	$92,000	12/02/1997	$0	$4,200	$4,200	$0	$295,500	$295,500	20:11:03	346
465	7 RECORDRIDGE LN	403/  47/  /  / 	  3360/0554	$12,300	$250,900	36.2	6516	FARMR-6	RD	1	2021	$0	$250,900	$250,900	$800,000	12/08/2006	$525,000	08/09/2001	$0	$12,300	$12,300	$0	$195,500	$195,500	20:11:04	347
469	15 RECORDRIDGE LN	403/  48/  /  / 	  3360/0554	$997,000	$997,000	10.2	1010	SINGLE FAM MDL01	RD	1	2021	$725,500	$271,500	$997,000	$800,000	12/08/2006	$525,000	08/09/2001	$598,800	$240,800	$839,600	$598,800	$240,800	$839,600	20:11:05	348
472	26 RECORDRIDGE LN	403/  51/  /  / 	  1950/0328	$890,300	$956,600	14.9	1010	SINGLE FAM MDL01	RD	1	2021	$715,000	$241,600	$956,600	$135,048	01/31/1992	$123,474	01/10/1990	$586,900	$154,400	$741,300	$586,900	$214,600	$801,500	20:11:06	349
