PID	Street Address	MBLU	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Year	Improvements	Land	Total	
78	15 UNION ST	201/  52/  /  / 	$323,000	$323,000	1	1010	SINGLE FAM MDL01	LCD	1	2016	$132,600	$190,400	$323,000	09:49:40	165
79	17 UNION ST	201/  53/  /  / 	$295,600	$295,600	0.99	1010	SINGLE FAM MDL01	LCD	1	2016	$105,400	$190,200	$295,600	09:49:42	166
80	21 UNION ST	201/  54/  /  / 	$491,900	$491,900	18	906R	CHURCH ETC  MDL-01	LCD	1	2016	$226,900	$265,000	$491,900	09:49:46	167
81	25 UNION ST	201/  55/  /  / 	$374,600	$374,600	1.4	0130	PRI RES	LCD	1	2016	$119,100	$255,500	$374,600	09:49:50	168
82	27 UNION ST	201/  56/  /  / 	$344,600	$344,600	0.67	1040	TWO FAMILY	LCD	1	2016	$157,800	$186,800	$344,600	09:49:52	169
84	35 UNION ST (ELEM SCHOOL)	201/  58/  /  / 	$4,187,900	$4,187,900	6.8	903C	MUNICPAL  MDL-94	LCD	1	2016	$2,800,400	$1,387,500	$4,187,900	09:49:53	170
85	39 UNION ST (LITTLE COMMON)	201/  59/  /  / 	$16,400	$16,400	0.38	9035	TOWN-PROP	LCD	1	2016	$0	$16,400	$16,400	09:49:57	171
86	37 UNION ST	201/  60/  /  / 	$623,700	$623,700	1.1	1010	SINGLE FAM MDL01	LCD	1	2016	$422,300	$201,400	$623,700	09:50:01	172
87	19 EAST THETFORD RD	201/  61/  /  / 	$598,800	$598,800	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	$373,400	$225,400	$598,800	09:50:03	173
91	2 HAMILTON LN	201/  65/  /  / 	$740,800	$740,800	0.81	1010	SINGLE FAM MDL01	LCD	2	2016	$548,900	$191,900	$740,800	09:50:05	174
92	8 EAST THETFORD RD	201/  66/  /  / 	$212,500	$212,500	0.67	1010	SINGLE FAM MDL01	LCD	1	2016	$63,100	$149,400	$212,500	09:50:07	175
93	6 EAST THETFORD RD	201/  67/  /  / 	$486,900	$486,900	0.70	1010	SINGLE FAM MDL01	LCD	1	2016	$298,700	$188,200	$486,900	09:50:10	176
94	4 EAST THETFORD RD	201/  68/  /  / 	$445,300	$445,300	0.55	1010	SINGLE FAM MDL01	LCD	1	2016	$266,600	$178,700	$445,300	09:50:12	177
99	1 MAIN          ST (33% INT)	201/  70/  0010/  / 	$308,800	$308,800	0.00	340C	OFF CONDO  MDL-94	LCD	1	2016	$308,800	$0	$308,800	09:50:14	178
101	1 MAIN          ST (67% INT)	201/  70/  0020/  / 	$543,200	$543,200	0.00	340C	OFF CONDO  MDL-94	LCD	2	2016	$543,200	$0	$543,200	09:50:18	179
103	10 LATHAM LN	201/  72/  /  / 	$278,900	$278,900	1.4	1010	SINGLE FAM MDL01	LCD	1	2016	$116,200	$162,700	$278,900	09:50:21	180
104	5 MAIN ST	201/  73/  /  / 	$1,222,500	$1,222,500	0.96	3220	STORE/SHOP  MDL-94	LCD	1	2016	$923,900	$298,600	$1,222,500	09:50:25	181
105	7 MAIN ST	201/  74/  /  / 	$468,200	$468,200	0.4	3400	OFFICE BLD  MDL-94	LCD	1	2016	$219,000	$249,200	$468,200	09:50:26	182
106	9 MAIN ST	201/  75/  /  / 	$1,552,700	$1,552,700	5.40	3020	INNS	LCD	3	2016	$1,164,400	$388,300	$1,552,700	09:50:28	183
107	13 MAIN ST	201/  76/  /  / 	$574,400	$574,400	0.31	3220	STORE/SHOP  MDL-94	LCD	2	2016	$340,500	$233,900	$574,400	09:50:30	184
111	1 PLEASANT ST (OLD CEMETERY	201/  78/  /  / 	$341,700	$341,700	3.7	9035	TOWN-PROP		1	2016	$4,000	$337,700	$341,700	09:50:32	185
102937	ROW  TOWN OF LYME	100/  5/  /  / 	$5,000	$5,000	0.00	3900	DEVEL LAND		1	2016	$5,000	$0	$5,000	09:50:36	186
120	4 BRITTON LN	201/  83/  /  / 	$739,200	$739,200	4.2	3160	COMM WHSE	LCD	1	2016	$461,500	$277,700	$739,200	09:50:37	187
121	34 PLEASANT ST	201/  84/  /  / 	$188,800	$188,800	1.4	1010	SINGLE FAM MDL01	LCD	1	2016	$73,600	$115,200	$188,800	09:50:38	188
689	22 POST POND LN	407/  29/  /  / 	$365,900	$407,100	12.2	1010	SINGLE FAM MDL01	RD	1	2016	$223,400	$183,700	$407,100	09:50:40	189
690	16 POST POND LN	407/  30/  /  / 	$783,500	$783,500	3.7	1010	SINGLE FAM MDL01	RD	1	2016	$591,800	$191,700	$783,500	09:50:43	190
102737	51 HIGH ST	201/  134/  /  / 	$893,900	$893,900	9.9	1010	SINGLE FAM MDL01	LCD	1	2016	$569,100	$324,800	$893,900	09:50:45	191
691	11 NORTH THETFORD RD	407/  31/  /  / 	$575,000	$622,400	23.28	0101	Single Fam	RD	1	2016	$405,100	$217,300	$622,400	09:50:47	192
696	33 NORTH THETFORD RD	407/  36/  /  / 	$460,200	$460,200	4.7	1010	SINGLE FAM MDL01	RD	1	2016	$294,500	$165,700	$460,200	09:50:51	193
697	7 TURNER LN	407/  37/  /  / 	$322,900	$378,200	11.19	1010	SINGLE FAM MDL01	RD	1	2016	$169,800	$208,400	$378,200	09:50:55	194
698	15 TURNER LN	407/  38/  /  / 	$643,900	$643,900	4.7	1040	TWO FAMILY		1	2016	$463,100	$180,800	$643,900	09:50:56	195
700	57 NORTH THETFORD RD	407/  40/  /  / 	$113,800	$113,800	0.33	1030	MOBILE HOM  MDL-02	RD	1	2016	$40,900	$72,900	$113,800	09:51:00	196
701	52 NORTH THETFORD RD	407/  41/  /  / 	$293,100	$293,100	4.2	1010	SINGLE FAM MDL01		1	2016	$151,100	$142,000	$293,100	09:51:03	197
702	48 NORTH THETFORD RD	407/  42/  /  / 	$333,000	$333,000	3.2	1010	SINGLE FAM MDL01		1	2016	$213,600	$119,400	$333,000	09:51:05	198
703	38 NORTH THETFORD RD	407/  43/  /  / 	$201,100	$201,100	6.5	1010	SINGLE FAM MDL01	RD	1	2016	$57,500	$143,600	$201,100	09:51:06	199
704	8 PUSHEE FALLS LN	407/  44/  /  / 	$240,300	$240,300	1.3	1010	SINGLE FAM MDL01	RD	1	2016	$128,500	$111,800	$240,300	09:51:09	200
705	4 PUSHEE FALLS LN	407/  45/  /  / 	$10,000	$10,000	1.6	1060	AC LND IMP	RD	1	2016	$2,000	$8,000	$10,000	09:51:13	201
708	18 NORTH THETFORD RD	407/  48/  /  / 	$272,800	$272,800	2.8	1010	SINGLE FAM MDL01	RD	1	2016	$153,200	$119,600	$272,800	09:51:14	202
707	22 NORTH THETFORD RD	407/  47/  /  / 	$358,100	$358,100	3.8	1010	SINGLE FAM MDL01	RD	1	2016	$218,500	$139,600	$358,100	09:51:16	203
725	1 CULVER HILL LN	407/  59/  /  / 	$582,600	$658,300	11.3	1010	SINGLE FAM MDL01	RD	1	2016	$390,300	$268,000	$658,300	09:51:18	204
734	1 TAVERN LN	407/  60/  1000/  / 	$754,900	$754,900	6.01	1010	SINGLE FAM MDL01	RD	1	2016	$527,600	$227,300	$754,900	09:51:21	205
735	3 TAVERN LN	407/  60/  2000/  / 	$205,100	$205,100	5.51	1300	RES ACLNDV	RD	1	2016	$0	$205,100	$205,100	09:51:25	206
569	651 RIVER RD	405/  30/  1000/  / 	$1,124,000	$1,250,500	22.56	3020	INNS		2	2016	$802,700	$447,800	$1,250,500	09:51:29	207
616	376 ORFORD RD	406/  12/  /  / 	$404,800	$404,800	4.3	1040	TWO FAMILY	RD	1	2016	$285,900	$118,900	$404,800	09:51:31	208
717	241 ORFORD RD	407/  54/  /  / 	$9,600	$405,000	74.1	6610	SPI FARMR	RD	1	2016	$0	$405,000	$405,000	09:51:34	209
719	236 ORFORD RD	407/  55/  /  / 	$366,200	$366,200	7.5	1010	SINGLE FAM MDL01	RD	1	2016	$222,600	$143,600	$366,200	09:51:36	210
723	186 ORFORD RD	407/  57/  /  / 	$248,500	$248,500	2.6	1010	SINGLE FAM MDL01	RD	1	2016	$136,500	$112,000	$248,500	09:51:37	211
724	15 WHIPPLE HILL RD	407/  58/  1000/  / 	$22,000	$425,900	58.8	6506	FARM-6	RD	1	2016	$0	$425,900	$425,900	09:51:39	212
738	41 CULVER HILL LN	407/  60/  5000/  / 	$537,600	$537,600	9.55	1010	SINGLE FAM MDL01	RD	1	2016	$354,000	$183,600	$537,600	09:51:41	213
740	48 CULVER HILL LN	407/  60/  7000/  / 	$950,300	$950,300	5.13	1090	MULTI HSES	RD	2	2016	$651,900	$298,400	$950,300	09:51:45	214
741	63 CULVER HILL LN	407/  61/  /  / 	$283,100	$390,700	30	1010	SINGLE FAM MDL01		1	2016	$120,000	$270,700	$390,700	09:51:47	215
742	56 CULVER HILL LN	407/  62/  /  / 	$814,800	$878,900	15.2	1010	SINGLE FAM MDL01	RD	1	2016	$562,800	$316,100	$878,900	09:51:49	216
743	23 CLOVER MILL LN	407/  63/  /  / 	$470,200	$470,200	9.32	1010	SINGLE FAM MDL01	RD	1	2016	$254,400	$215,800	$470,200	09:51:53	217
744	20 CULVER HILL LN	407/  64/  /  / 	$702,000	$779,300	19.6	1010	SINGLE FAM MDL01	RD	1	2016	$446,100	$333,200	$779,300	09:51:57	218
745	37 WHIPPLE HILL RD	407/  65/  /  / 	$7,000	$290,000	21.7	6515	FARMR-5		1	2016	$0	$290,000	$290,000	09:52:00	219
746	63 WHIPPLE HILL RD	407/  66/  /  / 	$872,500	$872,500	7.74	1010	SINGLE FAM MDL01	RD	1	2016	$609,500	$263,000	$872,500	09:52:04	220
747	19 CLOVER MILL LN	407/  67/  /  / 	$591,100	$591,100	5.31	1010	SINGLE FAM MDL01	RD	1	2016	$362,200	$228,900	$591,100	09:52:06	221
748	27 CLOVER MILL LN	407/  68/  /  / 	$625,800	$722,300	28.92	1010	SINGLE FAM MDL01	RD	1	2016	$373,100	$349,200	$722,300	09:52:09	222
102759	105 RIVER RD	402/  88/  /  / 	$600	$16,900	2.1	6514	FARMR-4	RD	1	2016	$0	$16,900	$16,900	09:52:13	223
749	28 CLOVER MILL LN	407/  69/  /  / 	$1,428,100	$1,547,800	36.97	1010	SINGLE FAM MDL01	RD	1	2016	$1,049,800	$498,000	$1,547,800	09:52:17	224
750	16 CLOVER MILL LN	407/  70/  /  / 	$1,029,200	$1,029,200	5.06	1010	SINGLE FAM MDL01	RD	1	2016	$822,300	$206,900	$1,029,200	09:52:21	225
751	79 WHIPPLE HILL RD	407/  71/  /  / 	$426,300	$479,100	11.74	1010	SINGLE FAM MDL01	RD	1	2016	$284,300	$194,800	$479,100	09:52:24	226
753	95 WHIPPLE HILL RD	407/  73/  /  / 	$763,700	$861,700	24.4	1010	SINGLE FAM MDL01		1	2016	$415,300	$446,400	$861,700	09:52:26	227
754	101 WHIPPLE HILL RD	407/  74/  /  / 	$673,100	$896,600	79.9	0101	Single Fam	RD	1	2016	$499,500	$397,100	$896,600	09:52:28	228
755	111 WHIPPLE HILL RD	407/  75/  /  / 	$255,100	$255,100	2	1010	SINGLE FAM MDL01		1	2016	$139,600	$115,500	$255,100	09:52:32	229
757	36 MUD TURTLE POND RD	407/  77/  /  / 	$226,900	$226,900	70	9030	MUNICPAL  MDL-00	RD	1	2016	$0	$226,900	$226,900	09:52:34	230
758	135 WHIPPLE HILL RD	407/  78/  /  / 	$237,000	$289,600	20	1010	SINGLE FAM MDL01		1	2016	$108,400	$181,200	$289,600	09:52:37	231
759	149 WHIPPLE HILL RD	407/  79/  /  / 	$234,900	$234,900	5.45	1010	SINGLE FAM MDL01		1	2016	$95,400	$139,500	$234,900	09:52:39	232
279	38 RIVER RD	401/  69/  /  / 	$272,300	$272,300	3.5	1010	SINGLE FAM MDL01	RD	1	2016	$123,600	$148,700	$272,300	09:52:42	233
280	20 RIVER RD	401/  70/  /  / 	$8,400	$351,300	63.5	6515	FARMR-5	RD	1	2016	$0	$351,300	$351,300	09:52:43	234
283	1 HOVEY ISLAND	401/  71/  /  / 	$163,200	$163,200	23.00	1013	SFR WATER  MDL-01		2	2016	$32,600	$130,600	$163,200	09:52:45	235
287	51 RIVER RD	401/  74/  /  / 	$797,000	$797,000	0.9	1013	SFR WATER  MDL-01	RD	1	2016	$518,800	$278,200	$797,000	09:52:47	236
288	61 RIVER RD	401/  75/  /  / 	$511,300	$511,300	1.9	1013	SFR WATER  MDL-01	RD	1	2016	$204,100	$307,200	$511,300	09:52:48	237
102763	50 LAMPHIRE HILL LN	403/  35/  /  / 	$3,300	$267,300	34	6135	WPUNR-5	RD	1	2016	$0	$267,300	$267,300	09:52:53	238
290	75 RIVER RD	401/  77/  /  / 	$550,000	$745,100	11.20	1010	SINGLE FAM MDL01	RD	1	2016	$269,000	$476,100	$745,100	09:52:54	239
294	252 DARTMOUTH COLLEGE HY	402/  3/  /  / 	$517,400	$703,900	37.3	1010	SINGLE FAM MDL01	RD	1	2016	$378,500	$325,400	$703,900	09:52:56	240
295	246 DARTMOUTH COLLEGE HY	402/  4/  /  / 	$220,800	$220,800	0.53	1010	SINGLE FAM MDL01	RD	1	2016	$130,300	$90,500	$220,800	09:52:57	241
296	246 DARTMOUTH COLLEGE HY	402/  4/  1/  / 	$127,600	$127,600	0	322L	COMM BLDG  MDL-96	RD	1	2016	$127,600	$0	$127,600	09:52:59	242
297	244 DARTMOUTH COLLEGE HY	402/  5/  /  / 	$101,800	$101,800	4.8	1060	AC LND IMP	RD	1	2016	$31,400	$70,400	$101,800	09:53:00	243
298	240 DARTMOUTH COLLEGE HY	402/  6/  /  / 	$225,800	$225,800	0.67	1010	SINGLE FAM MDL01	RD	1	2016	$130,400	$95,400	$225,800	09:53:04	244
299	234 DARTMOUTH COLLEGE HY	402/  7/  /  / 	$195,700	$195,700	0.92	1010	SINGLE FAM MDL01	RD	1	2016	$100,300	$95,400	$195,700	09:53:06	245
300	232 DARTMOUTH COLLEGE HY	402/  8/  /  / 	$190,100	$190,100	0.4	1010	SINGLE FAM MDL01	RD	1	2016	$105,200	$84,900	$190,100	09:53:09	246
301	226 DARTMOUTH COLLEGE HY	402/  9/  /  / 	$262,800	$339,800	12.5	1010	SINGLE FAM MDL01	RD	1	2016	$150,800	$189,000	$339,800	09:53:13	247
187	40 PRESTON RD	401/  2/  /  / 	$390,600	$527,600	43.50	1010	SINGLE FAM MDL01	RD	2	2016	$259,400	$268,200	$527,600	09:53:16	248
188	30 PRESTON RD	401/  3/  /  / 	$396,100	$447,400	13.87	1010	SINGLE FAM MDL01	RD	1	2016	$234,300	$213,100	$447,400	09:53:21	249
357	223 DARTMOUTH COLLEGE HY	402/  59/  /  / 	$124,500	$124,500	3.3	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$124,500	$124,500	09:53:24	250
358	229 DARTMOUTH COLLEGE HY	402/  60/  /  / 	$8,400	$8,400	0.38	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$8,400	$8,400	09:53:28	251
359	233 DARTMOUTH COLLEGE HY	402/  61/  /  / 	$169,100	$169,100	1.1	1010	SINGLE FAM MDL01	RD	1	2016	$71,900	$97,200	$169,100	09:53:31	252
360	241 DARTMOUTH COLLEGE HY	402/  62/  /  / 	$177,900	$177,900	0.62	1010	SINGLE FAM MDL01	RD	1	2016	$93,600	$84,300	$177,900	09:53:34	253
361	259 DARTMOUTH COLLEGE HY	402/  63/  /  / 	$435,400	$626,700	40	1010	SINGLE FAM MDL01	RD	1	2016	$315,000	$311,700	$626,700	09:53:36	254
115	21 PLEASANT ST	201/  79/  1000/  / 	$273,900	$383,400	22	1010	SINGLE FAM MDL01	LCD	1	2016	$168,500	$214,900	$383,400	09:53:40	255
116	23 PLEASANT ST	201/  79/  2000/  / 	$341,700	$341,700	2.08	1010	SINGLE FAM MDL01	LCD	1	2016	$222,400	$119,300	$341,700	09:53:43	256
118	7 BRITTON LN	201/  81/  /  / 	$431,000	$431,000	5.3	3130	LUMBER YRD	RD	1	2016	$143,400	$287,600	$431,000	09:53:47	257
377	64 SHOESTRAP RD	402/  79/  /  / 	$144,500	$429,100	115	1010	SINGLE FAM MDL01	RD	1	2016	$42,400	$386,700	$429,100	09:53:50	258
378	136 RIVER RD	402/  80/  /  / 	$388,700	$388,700	0.63	1010	SINGLE FAM MDL01	RD	1	2016	$266,300	$122,400	$388,700	09:53:52	259
380	3 MAPLE LN	402/  82/  /  / 	$281,500	$281,500	2.1	1010	SINGLE FAM MDL01	RD	1	2016	$156,000	$125,500	$281,500	09:53:55	260
381	2 MAPLE LN	402/  83/  /  / 	$148,000	$148,000	0.53	1010	SINGLE FAM MDL01	RD	1	2016	$61,200	$86,800	$148,000	09:53:58	261
835	96 ORFORD RD	407/  139/  /  / 	$497,600	$497,600	7.39	1010	SINGLE FAM MDL01	RD	2	2016	$325,000	$172,600	$497,600	09:54:00	262
836	92 ORFORD RD	407/  140/  /  / 	$23,400	$204,300	14.84	1060	AC LND IMP	RD	1	2016	$7,700	$196,600	$204,300	09:54:02	263
837	84 ORFORD RD	407/  141/  /  / 	$501,900	$503,000	1.59	1090	MULTI HSES	RD	3	2016	$355,900	$147,100	$503,000	09:54:06	264
838	16 BRITTON LN	408/  1/  /  / 	$347,400	$347,400	4.1	1010	SINGLE FAM MDL01	RD	1	2016	$236,500	$110,900	$347,400	09:54:09	265
840	11 ORFORD RD	408/  3/  /  / 	$118,500	$118,500	1.4	1030	MOBILE HOM  MDL-02	LCD	1	2016	$19,400	$99,100	$118,500	09:54:12	266
841	13 ORFORD RD	408/  4/  /  / 	$664,600	$664,600	1.30	3400	OFFICE BLD  MDL-94	RD	3	2016	$507,800	$156,800	$664,600	09:54:15	267
842	15 ORFORD RD	408/  5/  /  / 	$200,100	$200,100	0.47	1010	SINGLE FAM MDL01	RD	1	2016	$116,200	$83,900	$200,100	09:54:18	268
843	23 ORFORD RD	408/  6/  /  / 	$193,700	$193,700	3.6	1010	SINGLE FAM MDL01	RD	1	2016	$75,700	$118,000	$193,700	09:54:20	269
844	27 ORFORD RD	408/  7/  /  / 	$85,800	$269,700	45.8	1013	SFR WATER  MDL-01	RD	1	2016	$5,900	$263,800	$269,700	09:54:23	270
845	35 ORFORD RD	408/  8/  /  / 	$289,200	$289,200	2	1010	SINGLE FAM MDL01	RD	1	2016	$180,800	$108,400	$289,200	09:54:26	271
846	41 ORFORD RD	408/  9/  /  / 	$87,900	$87,900	3.8	9010	STATE NH	RD	1	2016	$0	$87,900	$87,900	09:54:29	272
849	92 POST POND LN (LAND ONLY)	408/  12/  /  / 	$104,600	$104,600	19.6	9035	TOWN-PROP	RD	1	2016	$0	$104,600	$104,600	09:54:32	273
760	165 WHIPPLE HILL RD	407/  80/  /  / 	$113,100	$252,100	51.6	1300	RES ACLNDV		1	2016	$0	$252,100	$252,100	09:54:33	274
762	160 WHIPPLE HILL RD	407/  81/  /  / 	$500	$147,200	21.2	6303	OTM-3		1	2016	$0	$147,200	$147,200	09:54:36	275
765	132 WHIPPLE HILL RD	407/  84/  /  / 	$489,100	$561,100	11.40	1010	SINGLE FAM MDL01	RD	1	2016	$313,300	$247,800	$561,100	09:54:40	276
101502	44 BLISS LN	410/  51/  /  / 	$11,600	$11,600	4.00	1320	RES ACLNUD	RD	1	2016	$0	$11,600	$11,600	09:54:42	277
101522	Problem loading parcel PID 101522
101523	44 BRITTON LN	408/  1/  0100/  / 	$400,800	$497,300	30.08	1010	SINGLE FAM MDL01	RD	1	2016	$295,500	$201,800	$497,300	09:54:47	279
101542	675 RIVER RD	405/  33/  /  / 	$381,600	$1,041,400	105.9	1013	SFR WATER  MDL-01	RD	1	2016	$109,800	$931,600	$1,041,400	09:54:49	280
769	144 ORFORD RD	407/  88/  /  / 	$309,000	$309,000	3.15	1010	SINGLE FAM MDL01	RD	1	2016	$193,700	$115,300	$309,000	09:54:52	281
770	124 ORFORD RD	407/  89/  /  / 	$6,400	$233,200	25.52	6505	FARM-5	RD	1	2016	$0	$233,200	$233,200	09:54:54	282
101562	626 DORCHESTER RD	421/  22/  /  / 	$16,400	$338,900	213	1060	AC LND IMP	RD	1	2016	$800	$338,100	$338,900	09:54:58	283
772	11 PINNACLE RD	407/  91/  /  / 	$375,700	$375,700	3	1010	SINGLE FAM MDL01	RD	1	2016	$250,900	$124,800	$375,700	09:55:01	284
306	69 WASHBURN HILL RD	402/  14/  /  / 	$375,200	$375,200	3.1	1010	SINGLE FAM MDL01	RD	1	2016	$173,800	$201,400	$375,200	09:55:02	285
307	77 WASHBURN HILL RD	402/  15/  1000/  / 	$728,200	$820,800	18.44	1010	SINGLE FAM MDL01	RD	1	2016	$498,800	$322,000	$820,800	09:55:06	286
308	64 WASHBURN HILL RD	402/  16/  /  / 	$424,800	$424,800	3.31	1010	SINGLE FAM MDL01	RD	1	2016	$274,500	$150,300	$424,800	09:55:08	287
309	66 WASHBURN HILL RD	402/  17/  /  / 	$497,600	$737,800	79.7	1010	SINGLE FAM MDL01	RD	1	2016	$264,700	$473,100	$737,800	09:55:11	288
310	108 PRESTON RD	402/  18/  2000/  / 	$653,900	$709,100	15.78	1010	SINGLE FAM MDL01	RD	1	2016	$475,100	$234,000	$709,100	09:55:13	289
313	50 PRESTON RD	402/  21/  /  / 	$1,091,900	$1,301,700	48.8	1010	SINGLE FAM MDL01	RD	1	2016	$606,600	$695,100	$1,301,700	09:55:15	290
315	45 PRESTON RD	402/  23/  /  / 	$573,800	$573,800	7	1040	TWO FAMILY		1	2016	$437,000	$136,800	$573,800	09:55:18	291
316	55 PRESTON RD	402/  24/  /  / 	$371,300	$371,300	10	1010	SINGLE FAM MDL01	RD	1	2016	$228,100	$143,200	$371,300	09:55:20	292
319	69 PRESTON RD	402/  26/  1000/  / 	$524,100	$524,100	5.09	1010	SINGLE FAM MDL01	RD	1	2016	$351,600	$172,500	$524,100	09:55:22	293
320	81 PRESTON RD	402/  26/  2000/  / 	$9,700	$395,000	57.7	6514	FARMR-4	RD	1	2016	$0	$395,000	$395,000	09:55:26	294
321	97 PRESTON RD	402/  27/  /  / 	$166,200	$166,200	1.1	1010	SINGLE FAM MDL01	RD	1	2016	$67,200	$99,000	$166,200	09:55:27	295
322	20 WASHBURN HILL RD	402/  28/  /  / 	$115,400	$226,200	22	1300	RES ACLNDV	RD	1	2016	$0	$226,200	$226,200	09:55:28	296
323	218 DARTMOUTH COLLEGE HY	402/  29/  /  / 	$229,800	$229,800	2	1010	SINGLE FAM MDL01	RD	1	2016	$119,400	$110,400	$229,800	09:55:30	297
324	208 DARTMOUTH COLLEGE HY	402/  30/  /  / 	$402,800	$402,800	1.5	1010	SINGLE FAM MDL01	RD	1	2016	$303,200	$99,600	$402,800	09:55:33	298
382	116 RIVER RD	402/  84/  /  / 	$270,400	$270,400	0.94	1010	SINGLE FAM MDL01	RD	1	2016	$131,200	$139,200	$270,400	09:55:34	299
384	91 RIVER RD	402/  86/  /  / 	$261,100	$439,100	18	1013	SFR WATER  MDL-01	RD	1	2016	$34,500	$404,600	$439,100	09:55:38	300
385	101 RIVER RD	402/  87/  /  / 	$437,300	$437,300	1.55	1040	TWO FAMILY	RD	1	2016	$248,400	$188,900	$437,300	09:55:40	301
387	111 RIVER RD (HEWES BROOK PRE	402/  89/  /  / 	$23,100	$23,100	1	9035	TOWN-PROP	RD	1	2016	$0	$23,100	$23,100	09:55:44	302
388	117 RIVER RD	402/  90/  /  / 	$60,800	$60,800	3.5	1320	RES ACLNUD	RD	1	2016	$0	$60,800	$60,800	09:55:48	303
390	129 RIVER RD	402/  92/  /  / 	$397,500	$397,500	8.6	1300	RES ACLNDV	RD	1	2016	$0	$397,500	$397,500	09:55:51	304
391	131 RIVER RD	402/  93/  /  / 	$330,800	$330,800	1.3	1013	SFR WATER  MDL-01	RD	1	2016	$78,600	$252,200	$330,800	09:55:54	305
392	133+137 RIVER RD	402/  94/  /  / 	$724,800	$724,800	2.3	1013	SFR WATER  MDL-01	RD	1	2016	$439,200	$285,600	$724,800	09:55:56	306
394	139 RIVER RD	402/  96/  /  / 	$647,200	$647,200	1.80	1093	MLTI HS WF	RD	2	2016	$366,000	$281,200	$647,200	09:55:59	307
395	143 RIVER RD	402/  97/  /  / 	$603,600	$603,600	2.33	1013	SFR WATER  MDL-01	RD	1	2016	$289,500	$314,100	$603,600	09:56:01	308
102712	24 HIGH ST (HIGHLAND CEMETER	201/  110/  2000/  / 	$192,000	$192,000	6.57	9030	MUNICPAL  MDL-00	LCD	1	2016	$8,300	$183,700	$192,000	09:56:03	309
398	155 RIVER RD	402/  100/  /  / 	$928,900	$928,900	2.15	1013	SFR WATER  MDL-01	RD	1	2016	$601,100	$327,800	$928,900	09:56:07	310
399	161 RIVER RD	402/  101/  /  / 	$624,000	$624,000	1.00	1013	SFR WATER  MDL-01	RD	2	2016	$312,000	$312,000	$624,000	09:56:08	311
400	207 RIVER RD	402/  102/  /  / 	$449,100	$449,100	1.8	1040	TWO FAMILY	RD	1	2016	$312,500	$136,600	$449,100	09:56:12	312
402	261 RIVER RD	402/  104/  /  / 	$2,304,400	$2,304,400	6.60	1093	MLTI HS WF	RD	2	2016	$1,353,500	$950,900	$2,304,400	09:56:15	313
405	300 DARTMOUTH COLLEGE HY	403/  3/  /  / 	$218,400	$218,400	1.2	1010	SINGLE FAM MDL01	RD	1	2016	$109,200	$109,200	$218,400	09:56:18	314
407	39 EAST THETFORD RD	403/  5/  /  / 	$13,900	$339,600	41.08	6516	FARMR-6	RD	1	2016	$0	$339,600	$339,600	09:56:19	315
408	53 EAST THETFORD RD	403/  6/  /  / 	$303,200	$303,200	1	1010	SINGLE FAM MDL01	RD	1	2016	$139,800	$163,400	$303,200	09:56:23	316
415	79 EAST THETFORD RD	403/  8/  /  / 	$348,600	$502,500	24.03	1010	SINGLE FAM MDL01	RD	1	2016	$184,700	$317,800	$502,500	09:56:26	317
417	101 EAST THETFORD RD	403/  9/  /  / 	$51,600	$543,800	52.81	1060	AC LND IMP	RD	1	2016	$34,200	$509,600	$543,800	09:56:29	318
418	119 EAST THETFORD RD	403/  10/  /  / 	$611,500	$611,500	5.81	1010	SINGLE FAM MDL01	RD	1	2016	$404,000	$207,500	$611,500	09:56:31	319
432	299 RIVER RD	403/  15/  /  / 	$19,200	$19,200	0.15	1320	RES ACLNUD	RD	1	2016	$0	$19,200	$19,200	09:56:34	320
427	125 EAST THETFORD RD	403/  11/  /  / 	$391,700	$391,700	2.63	1010	SINGLE FAM MDL01	RD	1	2016	$260,700	$131,000	$391,700	09:56:36	321
101183	 WHIPPLE HILL RD	407/  86/  3000/  / 	$400	$39,600	8.34	6324	OTUN-4	RD	1	2016	$0	$39,600	$39,600	09:56:40	322
100061	Problem loading parcel PID 100061
429	278 RIVER RD	403/  12/  /  / 	$715,500	$797,400	11.66	1010	SINGLE FAM MDL01	RD	1	2016	$474,700	$322,700	$797,400	09:56:45	324
101202	 WHIPPLE HILL RD	407/  86/  4000/  / 	$2,900	$183,200	9.56	6325	OTUN-5	RD	1	2016	$0	$183,200	$183,200	09:56:47	325
100502	85 DARTMOUTH COLLEGE HY #4010	401/  55/  401/  / 	$385,100	$385,100	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$385,100	$0	$385,100	09:56:49	326
100503	85 DARTMOUTH COLLEGE HY #4040	401/  55/  404/  / 	$197,400	$197,400	0.00	1021	CONDO NL  MDL-05	BD	1	2016	$197,400	$0	$197,400	09:56:53	327
434	303 RIVER RD	403/  17/  /  / 	$172,700	$172,700	0.21	1013	SFR WATER  MDL-01	RD	1	2016	$50,400	$122,300	$172,700	09:56:55	328
435	307 RIVER RD	403/  18/  /  / 	$276,600	$276,600	0.15	1013	SFR WATER  MDL-01	RD	1	2016	$112,300	$164,300	$276,600	09:56:58	329
